id,title,description,availability,condition,price,link,image_link,brand,google_product_category_new,fb_product_category_new
"31840127337912213811,28310432457688784377,74242233111556884213",Chibi Owlbear Cub Velveteen Blanket | Cozy Pastel Watercolor | Feywild Design | Green & Brown Tones | 3 Sizes | Perfect Gift,"Introducing our adorable Chibi Owlbear Cub Velveteen Blanket, a must-have for fans of cozy comfort and enchanting fantasy! This plush, velveteen blanket showcases a cute chibi owlbear cub standing bravely in the magical feywild, rendered in pastel watercolors of green and brown tones.

Crafted with velveteen fabric, our soft and luxurious blanket provides exceptional warmth and an inviting atmosphere for any home. Personalize your space or create a thoughtful gift for friends and family with this one-sided print that adds a touch of charm to any room.

Available in three versatile sizes (30x40"", 50x60"", 60x80""), our Chibi Owlbear Cub Velveteen Blanket is perfect for snuggling up on the couch, bed, or even as a decorative throw. Embrace the wonder of the feywild and keep warm with this delightful plush blanket!

Order now and experience the cozy magic of our Chibi Owlbear Cub Velveteen Blanket!

NB! Due to variations in the production process, blankets may arrive up to 3"" shorter than their listed size.
.: 100% Polyester
.: One sided print
.: 3 sizes",in stock,new,34.99 USD,https://www.etsy.com/listing/1472245089/chibi-owlbear-cub-velveteen-blanket-cozy?click_key=0a37fac98f7c18e2bc51cf4a258dcc8f4b808d62%3A1472245089&click_sum=1c42125e&ref=shop_home_active_1,https://i.etsystatic.com/43129344/r/il/c58a92/4863762894/il_fullxfull.4863762894_kn7k.jpg,TokyoCC,Apparel & Accessories > Clothing > Shirts & Tops,apparel & accessories > clothing > tops
"27034453288461539568,28966073167310509260,14116868932485216763,32971629791148564859,79462778127193522808,15614651293737160327,24443864067581887938,10155058497706546462,25844253469241300645,69917440152552781239,30174312420430373435,20992503345396337878,14913126213042401621,14735638677716147185,33350963851680704707,10481306424344455275,32898954199468589776,29014094665118708877",Slaying with Sarcasm - Proficient in Vicious Mockery Gothic D&D Shirt,"Bring a touch of wit, sarcasm, and a dash of psychic damage to your wardrobe with our ""Slaying with Sarcasm"" T-shirt. Designed for the tabletop gamers who revel in the power of a well-placed verbal barb, this shirt features the phrase ""Proficient in Vicious Mockery"" set against a warm honey-colored backdrop with a gothic aesthetic.

Whether you're a bard who loves using their Vicious Mockery cantrip, or you simply love the humorous and witty side of tabletop gaming, this shirt is perfect for you. Crafted from soft, durable material, this tee will withstand even the longest gaming sessions. Roll in style, and remember: ""Psychic Damage for Days!""

The unisex soft-style t-shirt puts a new spin on casual comfort. Made from very soft materials, this tee is 100% cotton for solid colors. Heather colors and sports grey include polyester. The shoulders have twill tape for improved durability. There are no side seams. The collar is made with ribbed knitting to prevent curling damage. 
.: 100% ring-spun cotton (fiber content may vary for different colors)
.: Light fabric (4.5 oz/yd² (153 g/m²))
.: Eurofit
.: Tear-away label
.: Runs true to size",in stock,new,14.99 USD,https://www.etsy.com/listing/1476809576/slaying-with-sarcasm-proficient-in?click_key=f971414dc08cba10617fb03c4143b18989427f86%3A1476809576&click_sum=1c098ecd&ref=shop_home_active_2&crt=1,https://i.etsystatic.com/43129344/r/il/a24423/4945802266/il_fullxfull.4945802266_66rx.jpg,TokyoCC,Apparel & Accessories > Clothing > Shirts & Tops,apparel & accessories > clothing > tops
"72833999759159064923,11118468759357853039,20140636170857443529,15575993176969887116,12528720325983897049,12934885840972026936,30240616174172409253,18038668311205344514,13482978670708695911,24895702708536179155,25481149323139416360,45528542540901295238,30594897277911782167,30154269016219498510,32658288957186403566,19498920523814922040",Cute Tiefling Wine Lover iPhone Case | D&D Fantasy Art | Forgotten Realms 1385 DR,"Embrace your inner tiefling and wine connoisseur with our 'Cute Tiefling Wine Lover' iPhone case. Inspired by the rich lore of Forgotten Realms in the year of 1385 DR, this case features a charming tiefling enjoying a well-deserved glass of infernal wine. Not only a unique piece of D&D inspired art, but it also provides robust protection for your phone against everyday wear and tear. Perfect for D&D fans and wine lovers alike, this case offers a playful touch of fantasy to your daily life. Enjoy every call, text, or scroll with a side of D&D whimsy!

When aesthetics meet function, the MagSafe case is born. Equipped with a dual-layer polycarbonate layer, the MagSafe case delivers impeccable protection thanks to its durable, flexible, impact-resistant nature. Available in a matte or glossy finish, each case comes with an embedded magnet to enhance compatibility with Apple MagSafe accessories. Inner layer made with black, cushioned TPU material. 

.: Dual-layer polycarbonate case
.: Available in matte or glossy premium finish
.: Embedded magnet to enhance compatibility with Apple MagSafe accessories
.: Durable, flexible and impact resistant
.: Black, cushioned inner TPU layer (slight variations in color/texture are possible)",in stock,new,29.99 USD,https://www.etsy.com/listing/1488829457/cute-tiefling-wine-lover-iphone-case-dd?click_key=ea89a762bb0ee61f23c21a76523f0a5ebe87f813%3A1488829457&click_sum=e368b81c&ref=shop_home_active_3,https://i.etsystatic.com/43129344/r/il/f8c56b/4936267450/il_fullxfull.4936267450_phy8.jpg,TokyoCC,Other,Other
"10565397634521530020,16284834551561473816,22007084722891450496,12363101846941732777,20976128807201598344,29292581050661302819,11013485840712581457,25268393461695288191","I Cast Axe Sticker | Barbarian Magic | Dungeons and Dragons Decal | Tabletop RPG Accessory | Gamer Gift | Laptop, Notebook, Decoration","Unleash your inner barbarian with our I Cast Axe Sticker! This fun decal features a bold ""Barbarian Magic"" design, perfect for showing off your love for Dungeons and Dragons and adding a touch of personality to your gaming setup.

Made from 100% vinyl with 3M glue, this sticker is available in 4 sizes and in either white or transparent options. Note: This sticker is for indoor use only and is not waterproof.

Ideal for decorating laptops, notebooks, gaming consoles, and more, this I Cast Axe Sticker makes a great gift for fellow D&D fans and gamers who love to embrace their barbarian side!

***This sticker is for indoor use only and is not waterproof.

.: Material: 100% vinyl with 3M glue
.: Comes in 4 sizes
.: White or transparent
.: Grey adhesive left side for white stickers
.: For indoor use (not waterproof)",in stock,new,1.99 USD,https://www.etsy.com/listing/1475281375/i-cast-axe-sticker-barbarian-magic?click_key=a7320be67deb25d37782c5047f4bffe554075f3b%3A1475281375&click_sum=5c98955a&ref=shop_home_active_4,https://i.etsystatic.com/43129344/r/il/fb6025/4925329779/il_fullxfull.4925329779_ogzx.jpg,TokyoCC,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,arts & crafts
"44148193727639128769,45181576379889382570,18086841241112653212,31184014382939989956,21847653519614010680,13530913228838535581,21503299119540545025,17449653320364798194",Obligatory Cleric Sticker | I Cast Healing Word | Dungeons and Dragons Decal | D&D Support Class | Tabletop RPG Accessory | Gamer Gift,"Show off your love for the supportive role of a cleric with our Obligatory Cleric Sticker! Featuring a nurse/lifeguard style logo with the text ""Obligatory Cleric"" and ""I Cast Healing Word,"" this sticker pays homage to the essential healers in any D&D party.

Made from 100% vinyl with 3M glue, this decal is available in 4 sizes and in either white or transparent options. Note: This sticker is for indoor use only and is not waterproof.

Celebrate the importance of the cleric class in your gaming setup with this fun and unique sticker, perfect for D&D enthusiasts and tabletop RPG lovers.

***This sticker is for indoor use only and is not waterproof.

.: Material: 100% vinyl with 3M glue
.: Comes in 4 sizes
.: White or transparent
.: Grey adhesive left side for white stickers
.: For indoor use (not waterproof)",in stock,new,1.99 USD,https://www.etsy.com/listing/1475269985/obligatory-cleric-sticker-i-cast-healing?click_key=025af7d98dc441435207d0d23dfbe5836edc9176%3A1475269985&click_sum=2f9ab8f2&ref=shop_home_active_5,https://i.etsystatic.com/43129344/r/il/c76e7a/4925260079/il_fullxfull.4925260079_k0up.jpg,TokyoCC,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,arts & crafts
"18408323843098987745,27547722808993947323,12194536488855123888,19851294107620496184,18615078328869217798,11035415689132396487,18283736549208574358,16605254107436164726,61224882628853498889,32368598013930360420,13899629283695357440,31587538913684845472,17850112949079883410,24511601534024271489,82054057490868911369,33949519486462777833",Elegant Tiefling Wine Connoisseur iPhone Case | Mature D&D Fantasy Art | Forgotten Realms 1385 DR,"Celebrate the allure of age and the mystique of fantasy with our 'Elegant Tiefling Wine Connoisseur' iPhone case. Think of the intriguing world of Forgotten Realms in the year 1385 DR, this case showcases a beautiful, mature tiefling savoring her smiling with infernal glee. This stunning piece of D&D inspired art not only enhances your phone's aesthetic appeal but also offers robust protection against everyday wear and tear. Ideal for D&D fans, wine enthusiasts, and those who appreciate the wisdom and beauty of age, this case adds a dash of sophisticated fantasy to your daily life. Immerse yourself in the rich lore of D&D with every call, text, or scroll!

When aesthetics meet function, the MagSafe case is born. Equipped with a dual-layer polycarbonate layer, the MagSafe case delivers impeccable protection thanks to its durable, flexible, impact-resistant nature. Available in a matte or glossy finish, each case comes with an embedded magnet to enhance compatibility with Apple MagSafe accessories. Inner layer made with black, cushioned TPU material. 

.: Dual-layer polycarbonate case
.: Available in matte or glossy premium finish
.: Embedded magnet to enhance compatibility with Apple MagSafe accessories
.: Durable, flexible and impact resistant
.: Black, cushioned inner TPU layer (slight variations in color/texture are possible)",in stock,new,29.99 USD,https://www.etsy.com/listing/1474638390/elegant-tiefling-wine-connoisseur-iphone?click_key=7560e4dd3030743693064438054fa632193aaa51%3A1474638390&click_sum=dc33032e&ref=shop_home_active_6,https://i.etsystatic.com/43129344/r/il/b176b7/4936208652/il_fullxfull.4936208652_tudb.jpg,TokyoCC,Other,Other
"26918408032505845272,17956389492920983166","Feywild D20 Pond Canvas | Ghibli-Inspired Watercolor Art | Soft Blue, Green & Brown | Tabletop Gaming Decor | Multiple Sizes","Introducing our enchanting Feywild D20 Pond Canvas, a stunning piece inspired by the magic of Ghibli and the whimsy of the feywild realm. This captivating artwork, rendered in soft watercolor tones of light blue, green, and brown, features a mystical d20 die resting peacefully in a serene pond.

Our premium gallery wrap canvases are made with artist-grade cotton, ensuring that every detail of the watercolor design is beautifully captured. Available in multiple sizes, this Feywild D20 Pond Canvas is perfect for adding a touch of fantasy and charm to any tabletop gamer's space.

Designed for indoor use, this Ghibli-inspired canvas art is not only a delightful addition to your own home but also makes a thoughtful gift for fellow gaming enthusiasts. Bring the enchanting beauty of the feywild realm into your living space with this one-of-a-kind piece!

Order now and immerse yourself in the whimsical world of the Feywild D20 Pond Canvas!

Uplift any room's decor with art that's printed on top-quality canvas gallery wraps. Each wrap is made with finely textured, artist-grade cotton substrate which helps reproduce your image in outstanding clarity and detail. Available in multiple sizes, these closed back canvases are built with a patented, solid support face and are excellent for indoor use.

.: 100% cotton fabric (400gsm)
.: Closed MDF backing
.: Built with a patented solid support face
.: High image quality and detail
.: NB! For indoor use only",in stock,new,39.99 USD,https://www.etsy.com/listing/1472226951/feywild-d20-pond-canvas-ghibli-inspired?click_key=b21ce305bae6ac4d1814e579e8f3df7a11c2333d%3A1472226951&click_sum=89858618&ref=shop_home_active_7,https://i.etsystatic.com/43129344/r/il/0d05b2/4911948975/il_fullxfull.4911948975_47b6.jpg,TokyoCC,Arts & Entertainment > Artwork,arts & entertainment > artwork
"19411691007077090118,20419537657873272627",Ukiyo-e Beer Wave Canvas Print | Premium Gallery Wrap Wall Art | Artist-Grade Cotton | Rich Blue & Brown Tones | Indoor Decor,"Introducing our Ukiyo-e Beer Wave Canvas Print – a perfect blend of traditional Japanese art and contemporary creativity! Elevate any room's atmosphere with this striking piece that combines the iconic Great Wave with a frosty beer, rendered in rich dark blue and warm brown tones.

Our top-quality canvas gallery wraps are meticulously crafted to ensure your art is displayed in the finest way possible. Printed on artist-grade cotton substrate with a finely textured surface, the Ukiyo-e Beer Wave canvas print showcases exceptional clarity and detail.

Available in multiple sizes to suit your space, these closed back canvases are constructed with a patented, solid support face for enhanced durability. Designed for indoor use, our gallery wraps make a stunning statement in any room and create a lasting impression.

Whether you're a fan of Japanese art, a beer enthusiast, or simply looking for a unique piece to accentuate your home, the Ukiyo-e Beer Wave Canvas Print is an eye-catching and conversation-starting addition to your decor.

Order now and bring a touch of artistic fusion to your walls!

Uplift any room's decor with art that's printed on top-quality canvas gallery wraps. Each wrap is made with finely textured, artist-grade cotton substrate which helps reproduce your image in outstanding clarity and detail. Available in multiple sizes, these closed back canvases are built with a patented, solid support face and are excellent for indoor use.

.: 100% cotton fabric (400gsm)
.: Closed MDF backing
.: Built with a patented solid support face
.: High image quality and detail
.: NB! For indoor use only",in stock,new,39.99 USD,https://www.etsy.com/listing/1472211429/ukiyo-e-beer-wave-canvas-print-premium?click_key=0cc8777f9dc49e78b10e53b788f43a520fe3a0b9%3A1472211429&click_sum=8e6e2815&ref=shop_home_active_8,https://i.etsystatic.com/43129344/r/il/5db719/4911887377/il_fullxfull.4911887377_moyo.jpg,TokyoCC,Arts & Entertainment > Artwork,arts & entertainment > artwork
20042933010736630872,Japanese Great Wave with Chrysanthemums Sticker | Vinyl Decal for Ocean and Flower Lovers,"Celebrate the beauty of nature with our Japanese Great Wave with Chrysanthemums sticker. This vinyl decal features a stunning design of the iconic Japanese Great Wave with delicate chrysanthemum flowers adorning the foreground. Made with high-quality vinyl material, this sticker is durable and long-lasting, perfect for decorating your laptop, water bottle, or anything else you can think of. This sticker is a must-have for ocean and flower lovers alike, and is sure to add some style and personality to your belongings. Let this little sticker transport you to the shores of Japan, where the waves are always majestic, the flowers are always in bloom, and the beauty is always breathtaking.

These stickers are great for both indoor and outdoor use as they are made with thick, resistant, laminate vinyl material. The easy-peel backing makes for great ease of use, while the matte finish helps your designs look sleek on any surface.
.: Material: water-resistant vinyl
.: Suitable for indoor and outdoor use
.: Easy peel backing
.: Matte finish",in stock,new,5.99 USD,https://www.etsy.com/listing/1470946891/japanese-great-wave-with-chrysanthemums?click_key=58b816501ed2d2dcb6180b9bda3bfa92c1d35b10%3A1470946891&click_sum=b49c478c&ref=shop_home_active_9,https://i.etsystatic.com/43129344/r/il/d099a5/4906794327/il_fullxfull.4906794327_a1p4.jpg,TokyoCC,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,arts & crafts
32731357901147690673,Cute Chibi Dungeons and Dragons Fire Wizard Sticker | Vinyl Decal for Gamers,"Bring some magical flair to your gaming setup with our cute chibi Dungeons and Dragons fire wizard sticker. This vinyl decal features a playful design of a cute chibi wizard casting fire spells, complete with a pointy hat and flowing robes. Made with high-quality vinyl material, this sticker is durable and long-lasting, perfect for decorating your laptop, water bottle, or gaming console. This sticker is a must-have for D&D fans and gamers alike, and is sure to add some whimsy and charm to your gaming setup. Let this little wizard light up your day and spark your imagination!

These stickers are great for both indoor and outdoor use as they are made with thick, resistant, laminate vinyl material. The easy-peel backing makes for great ease of use, while the matte finish helps your designs look sleek on any surface.
.: Material: water-resistant vinyl
.: Suitable for indoor and outdoor use
.: Easy peel backing
.: Matte finish",in stock,new,5.99 USD,https://www.etsy.com/listing/1470939525/cute-chibi-dungeons-and-dragons-fire?click_key=5819716f4bf92d43164108152bbd29fd6d82030b%3A1470939525&click_sum=25440ff0&ref=shop_home_active_10,https://i.etsystatic.com/43129344/r/il/b48c99/4858497950/il_fullxfull.4858497950_z3yy.jpg,TokyoCC,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,arts & crafts
